Id,firstName,lastName,salary,managerId
119,Emp119,L942,99615,65
120,Emp120,L59,96562,21
121,Emp121,L872,54356,11
122,Emp122,L610,38907,9
123,Emp123,L883,60828,87
124,Emp124,L123,62271,52
125,Emp125,L609,35209,75
126,Emp126,L84,84948,80
127,Emp127,L598,98522,85
128,Emp128,L958,64179,41
129,Emp129,L686,71180,27
130,Emp130,L272,81876,31
131,Emp131,L688,69321,17
132,Emp132,L324,39508,59
133,Emp133,L470,43104,2
134,Emp134,L551,57938,10
135,Emp135,L272,47361,65
136,Emp136,L903,39016,45
137,Emp137,L379,67353,32
138,Emp138,L449,69651,21
139,Emp139,L827,99329,79
140,Emp140,L684,69240,2
141,Emp141,L107,47601,85
142,Emp142,L119,44029,34
143,Emp143,L567,50374,96
144,Emp144,L289,57607,35
145,Emp145,L352,56685,92
146,Emp146,L650,64600,88
147,Emp147,L501,62914,65
148,Emp148,L95,85518,7
149,Emp149,L46,30464,36
150,Emp150,L790,47146,43
151,Emp151,L269,51178,82
152,Emp152,L453,86057,95
153,Emp153,L10,44663,72
154,Emp154,L968,49536,10
155,Emp155,L37,78393,70
156,Emp156,L566,49410,75
157,Emp157,L131,35482,56
158,Emp158,L374,35229,40
159,Emp159,L216,62706,46
160,Emp160,L106,76357,86
161,Emp161,L574,83264,100
162,Emp162,L768,50257,80
163,Emp163,L886,51299,31
164,Emp164,L903,84040,23
165,Emp165,L184,73540,4
166,Emp166,L954,83964,101
167,Emp167,L885,62527,86
168,Emp168,L164,44168,35
169,Emp169,L894,35075,49
170,Emp170,L228,56158,61
171,Emp171,L359,70001,59
172,Emp172,L229,33101,30
173,Emp173,L198,82227,85
174,Emp174,L286,39099,43
175,Emp175,L286,76025,99
176,Emp176,L522,82386,83
177,Emp177,L864,73404,87
178,Emp178,L119,64237,4
179,Emp179,L595,64795,23
180,Emp180,L112,86959,5
181,Emp181,L747,71114,45
182,Emp182,L621,97033,56
183,Emp183,L395,54914,15
184,Emp184,L46,87154,33
185,Emp185,L533,55825,1
186,Emp186,L442,39171,47
187,Emp187,L943,73279,86
188,Emp188,L322,46334,80
189,Emp189,L922,69363,93
190,Emp190,L317,83528,65
191,Emp191,L413,68752,42
192,Emp192,L131,55144,71
193,Emp193,L681,79695,54
194,Emp194,L767,52810,87
195,Emp195,L583,69446,79
196,Emp196,L562,30053,52
197,Emp197,L294,57549,39
198,Emp198,L805,72237,56
199,Emp199,L453,87954,60
200,Emp200,L219,97000,87
201,Emp201,L813,52241,61
202,Emp202,L87,67196,85
203,Emp203,L680,73933,66
204,Emp204,L839,60784,12
205,Emp205,L318,59444,87
206,Emp206,L151,33201,26
207,Emp207,L251,92277,6
208,Emp208,L871,39545,79
209,Emp209,L425,55485,59
210,Emp210,L714,80328,92
211,Emp211,L410,61979,64
212,Emp212,L672,30726,19
213,Emp213,L882,43970,97
214,Emp214,L436,58683,100
215,Emp215,L824,97889,23
216,Emp216,L52,62662,60
217,Emp217,L468,47477,16
218,Emp218,L684,99616,60
219,Emp219,L610,71588,72
220,Emp220,L913,88008,97
221,Emp221,L835,96162,79
222,Emp222,L851,88446,55
223,Emp223,L762,92216,21
224,Emp224,L266,62406,58
225,Emp225,L284,98327,82
226,Emp226,L642,61358,63
227,Emp227,L451,40155,36
228,Emp228,L293,60735,92
229,Emp229,L344,71904,35
230,Emp230,L83,48136,70
231,Emp231,L237,80205,20
232,Emp232,L157,58043,89
233,Emp233,L425,83424,9
234,Emp234,L556,91069,43
235,Emp235,L64,57110,54
236,Emp236,L399,32560,54
237,Emp237,L590,79857,98
238,Emp238,L7,76105,62
239,Emp239,L772,81116,39
240,Emp240,L552,58906,54
241,Emp241,L225,65774,63
242,Emp242,L498,33804,56
243,Emp243,L345,82994,50
244,Emp244,L170,91261,93
245,Emp245,L638,33534,17
246,Emp246,L607,33552,51
247,Emp247,L659,86179,11
248,Emp248,L888,90515,18
249,Emp249,L52,64099,24
250,Emp250,L336,57742,49
251,Emp251,L335,74236,59
252,Emp252,L901,79692,98
253,Emp253,L771,85255,36
254,Emp254,L855,40735,33
255,Emp255,L20,36826,61
256,Emp256,L230,38993,45
257,Emp257,L981,35276,100
258,Emp258,L32,62411,97
259,Emp259,L860,32671,26
260,Emp260,L157,61266,80
261,Emp261,L485,44993,17
262,Emp262,L971,58569,73
263,Emp263,L717,63586,60
264,Emp264,L378,51992,99
265,Emp265,L622,45012,78
266,Emp266,L839,51465,100
267,Emp267,L111,33365,40
268,Emp268,L590,79192,40
269,Emp269,L965,55995,51
270,Emp270,L607,61830,10
271,Emp271,L714,69529,14
272,Emp272,L615,45866,88
273,Emp273,L802,35383,73
274,Emp274,L546,86148,45
275,Emp275,L380,39038,85
276,Emp276,L664,74725,65
277,Emp277,L870,85057,2
278,Emp278,L109,86822,63
279,Emp279,L651,90258,47
280,Emp280,L157,87080,91
281,Emp281,L752,98386,23
282,Emp282,L277,93372,84
283,Emp283,L447,65179,60
284,Emp284,L873,62177,42
285,Emp285,L286,89087,12
286,Emp286,L769,90910,32
287,Emp287,L625,79674,73
288,Emp288,L30,94789,44
289,Emp289,L187,93904,42
290,Emp290,L364,63862,28
291,Emp291,L287,66211,44
292,Emp292,L11,97715,72
293,Emp293,L88,61635,25
294,Emp294,L417,94038,93
295,Emp295,L777,61499,72
296,Emp296,L488,94332,89
297,Emp297,L812,32260,58
298,Emp298,L302,59045,12
299,Emp299,L709,61890,52
300,Emp300,L680,78368,40
301,Emp301,L567,99588,61
302,Emp302,L436,73357,45
303,Emp303,L720,89473,46
304,Emp304,L314,62951,35
305,Emp305,L124,55242,30
306,Emp306,L123,54267,41
307,Emp307,L222,93464,25
308,Emp308,L742,98765,36
309,Emp309,L290,43176,77
310,Emp310,L304,59816,25
311,Emp311,L184,69618,47
312,Emp312,L726,46591,2
313,Emp313,L47,37146,36
314,Emp314,L300,46551,71
315,Emp315,L890,94340,82
316,Emp316,L894,31607,14
317,Emp317,L292,91524,74
318,Emp318,L452,74657,62
319,Emp319,L989,36734,24
320,Emp320,L964,92616,33
321,Emp321,L842,38564,15
322,Emp322,L504,39710,52
323,Emp323,L645,37026,74
324,Emp324,L153,69824,20
325,Emp325,L255,45525,11
326,Emp326,L783,84548,72
327,Emp327,L611,59581,78
328,Emp328,L536,79856,100
329,Emp329,L931,88028,58
330,Emp330,L881,86207,39
331,Emp331,L583,37894,40
332,Emp332,L984,43006,79
333,Emp333,L213,57659,98
334,Emp334,L677,40641,34
335,Emp335,L246,52782,21
336,Emp336,L77,50517,71
337,Emp337,L419,89048,1
338,Emp338,L609,91592,89
339,Emp339,L34,60340,38
340,Emp340,L724,67056,37
341,Emp341,L881,89510,90
342,Emp342,L704,60595,10
343,Emp343,L807,55928,34
344,Emp344,L118,59466,55
345,Emp345,L153,64816,83
346,Emp346,L74,37816,19
347,Emp347,L812,70319,22
348,Emp348,L767,67828,77
349,Emp349,L128,91433,57
350,Emp350,L312,82757,89
351,Emp351,L513,94722,35
352,Emp352,L83,35224,57
353,Emp353,L753,72247,56
354,Emp354,L257,33390,78
355,Emp355,L235,32719,12
356,Emp356,L689,65325,98
357,Emp357,L42,52962,74
358,Emp358,L532,87963,61
359,Emp359,L186,87132,36
360,Emp360,L834,94451,82
361,Emp361,L482,75607,12
362,Emp362,L342,72081,53
363,Emp363,L108,51079,86
364,Emp364,L422,94942,43
365,Emp365,L679,82488,37
366,Emp366,L564,34809,98
367,Emp367,L91,71224,59
368,Emp368,L332,45194,33
369,Emp369,L414,97449,99
370,Emp370,L674,90552,1
371,Emp371,L56,54586,53
372,Emp372,L371,95338,67
373,Emp373,L453,36764,81
374,Emp374,L274,47172,27
375,Emp375,L449,93532,37
376,Emp376,L30,61365,16
377,Emp377,L163,70730,91
378,Emp378,L15,83476,71
379,Emp379,L231,44871,12
380,Emp380,L970,45396,60
381,Emp381,L853,50181,83
382,Emp382,L956,68254,64
383,Emp383,L723,65838,66
384,Emp384,L855,93242,54
385,Emp385,L250,89871,61
386,Emp386,L149,80277,71
387,Emp387,L944,96616,25
388,Emp388,L901,47892,96
389,Emp389,L283,84387,9
390,Emp390,L957,96550,44
391,Emp391,L841,30336,35
392,Emp392,L744,69132,37
393,Emp393,L594,94178,76
394,Emp394,L458,93483,20
395,Emp395,L341,79441,45
396,Emp396,L956,72176,59
397,Emp397,L715,61300,25
398,Emp398,L393,60613,74
399,Emp399,L421,35720,100
400,Emp400,L763,91993,41
401,Emp401,L936,79968,91
402,Emp402,L680,49936,50
403,Emp403,L988,34852,64
404,Emp404,L515,73515,17
405,Emp405,L896,87711,13
406,Emp406,L539,89890,13
407,Emp407,L740,48894,2
408,Emp408,L892,50232,53
409,Emp409,L481,64737,10
410,Emp410,L639,82098,44
411,Emp411,L83,73065,84
412,Emp412,L880,99942,87
413,Emp413,L978,71505,49
414,Emp414,L736,93956,81
415,Emp415,L37,38968,70
416,Emp416,L647,67667,31
417,Emp417,L765,41846,30
418,Emp418,L101,43173,56
419,Emp419,L171,69251,57
420,Emp420,L48,72516,4
421,Emp421,L301,76984,8
422,Emp422,L442,49080,48
423,Emp423,L544,84008,32
424,Emp424,L699,53600,73
425,Emp425,L180,40350,22
426,Emp426,L892,80140,79
427,Emp427,L700,61566,80
428,Emp428,L935,48758,64
429,Emp429,L473,63289,30
430,Emp430,L262,31231,59
431,Emp431,L923,67700,60
432,Emp432,L560,50706,87
433,Emp433,L453,75293,10
434,Emp434,L307,85615,76
435,Emp435,L257,89878,89
436,Emp436,L204,80422,39
437,Emp437,L110,61091,62
438,Emp438,L586,77049,49
439,Emp439,L303,68696,74
440,Emp440,L850,81879,3
441,Emp441,L9,36428,36
442,Emp442,L764,95107,78
443,Emp443,L795,60162,37
444,Emp444,L822,76179,78
445,Emp445,L652,54920,29
446,Emp446,L257,47927,80
447,Emp447,L100,35167,81
448,Emp448,L808,87779,40
449,Emp449,L594,77823,5
450,Emp450,L135,41813,94
451,Emp451,L335,84460,38
452,Emp452,L206,47322,23
453,Emp453,L553,77953,101
454,Emp454,L514,65720,68
455,Emp455,L264,93156,22
456,Emp456,L765,74396,38
457,Emp457,L480,39869,15
458,Emp458,L773,59571,19
459,Emp459,L742,82089,87
460,Emp460,L375,41836,72
461,Emp461,L15,64663,51
462,Emp462,L127,89609,69
463,Emp463,L689,64362,48
464,Emp464,L391,78689,75
465,Emp465,L692,60647,14
466,Emp466,L26,72992,61
467,Emp467,L227,38285,79
468,Emp468,L844,90852,82
469,Emp469,L310,83516,90
470,Emp470,L144,35943,15
471,Emp471,L312,94569,5
472,Emp472,L100,60775,15
473,Emp473,L139,80940,69
474,Emp474,L380,84935,59
475,Emp475,L761,50253,76
476,Emp476,L671,42978,54
477,Emp477,L631,83492,63
478,Emp478,L34,78566,36
479,Emp479,L455,88287,28
480,Emp480,L876,77537,31
481,Emp481,L703,78147,13
482,Emp482,L924,77012,70
483,Emp483,L408,66160,8
484,Emp484,L992,46011,25
485,Emp485,L94,57801,59
486,Emp486,L655,32799,83
487,Emp487,L806,73713,7
488,Emp488,L129,56896,32
489,Emp489,L850,57152,9
490,Emp490,L222,60539,76
491,Emp491,L793,49340,43
492,Emp492,L923,30371,101
493,Emp493,L880,48964,36
494,Emp494,L554,62853,17
495,Emp495,L113,33379,23
496,Emp496,L16,76955,17
497,Emp497,L244,72437,101
498,Emp498,L179,64782,3
499,Emp499,L130,85176,7
500,Emp500,L117,38330,68
501,Emp501,L460,77453,61
502,Emp502,L608,44293,66
503,Emp503,L516,59038,58
504,Emp504,L45,98347,79
505,Emp505,L470,34082,39
506,Emp506,L491,82640,8
507,Emp507,L703,44150,55
508,Emp508,L730,88138,63
509,Emp509,L921,40589,10
510,Emp510,L623,49442,42
511,Emp511,L130,66046,9
512,Emp512,L649,72622,80
513,Emp513,L612,99541,49
514,Emp514,L465,96263,38
515,Emp515,L441,42999,78
516,Emp516,L118,58183,90
517,Emp517,L463,59949,56
518,Emp518,L348,89441,53
519,Emp519,L426,42463,52
520,Emp520,L438,70963,41
521,Emp521,L262,79060,86
522,Emp522,L704,92163,20
523,Emp523,L94,41188,9
524,Emp524,L443,42656,12
525,Emp525,L757,78843,96
526,Emp526,L570,37861,17
527,Emp527,L980,73207,76
528,Emp528,L126,83845,86
529,Emp529,L895,85435,46
530,Emp530,L53,67700,93
531,Emp531,L320,76090,77
532,Emp532,L592,96507,14
533,Emp533,L159,93201,28
534,Emp534,L868,44184,29
535,Emp535,L866,78176,45
536,Emp536,L781,66512,15
537,Emp537,L232,86244,74
538,Emp538,L998,33441,72
539,Emp539,L952,65054,78
540,Emp540,L185,65818,4
541,Emp541,L781,70499,90
542,Emp542,L360,30800,44
543,Emp543,L891,48776,24
544,Emp544,L674,82531,73
545,Emp545,L146,34018,9
546,Emp546,L765,99531,12
547,Emp547,L386,85028,28
548,Emp548,L350,50631,59
549,Emp549,L320,72517,48
550,Emp550,L965,41135,100
551,Emp551,L160,50632,7
552,Emp552,L633,36522,97
553,Emp553,L84,65665,87
554,Emp554,L678,85576,57
555,Emp555,L622,87939,63
556,Emp556,L280,58255,54
557,Emp557,L525,44918,97
558,Emp558,L441,44534,45
559,Emp559,L695,93783,37
560,Emp560,L684,70425,68
561,Emp561,L226,81807,6
562,Emp562,L57,31007,77
563,Emp563,L309,57686,27
564,Emp564,L141,63491,99
565,Emp565,L336,45726,38
566,Emp566,L510,86446,1
567,Emp567,L133,79834,23
568,Emp568,L721,60161,69
569,Emp569,L573,76421,65
570,Emp570,L407,35544,10
571,Emp571,L20,90260,56
572,Emp572,L883,71033,10
573,Emp573,L440,83008,74
574,Emp574,L656,84747,91
575,Emp575,L118,83088,38
576,Emp576,L990,72568,3
577,Emp577,L821,90305,22
578,Emp578,L942,77428,89
579,Emp579,L448,43875,12
580,Emp580,L447,82487,32
581,Emp581,L81,81873,68
582,Emp582,L764,74500,40
583,Emp583,L342,52037,29
584,Emp584,L523,44945,10
585,Emp585,L523,55415,68
586,Emp586,L358,76019,100
587,Emp587,L982,49358,94
588,Emp588,L106,49194,31
589,Emp589,L203,52740,33
590,Emp590,L157,39876,78
591,Emp591,L975,94764,23
592,Emp592,L773,88838,60
593,Emp593,L947,72363,88
594,Emp594,L324,49786,81
595,Emp595,L70,91462,57
596,Emp596,L647,69691,57
597,Emp597,L606,37362,36
598,Emp598,L520,39724,46
599,Emp599,L473,89233,40
600,Emp600,L59,78331,5
601,Emp601,L79,41835,37
602,Emp602,L609,96462,79
603,Emp603,L474,35376,50
604,Emp604,L931,54672,58
605,Emp605,L620,92341,42
606,Emp606,L155,38109,65
607,Emp607,L106,75015,58
608,Emp608,L87,96132,92
609,Emp609,L177,35130,83
610,Emp610,L725,87377,32
611,Emp611,L537,98517,57
612,Emp612,L163,77696,79
613,Emp613,L940,67079,48
614,Emp614,L419,74350,50
615,Emp615,L613,36863,87
616,Emp616,L663,73863,81
617,Emp617,L338,42387,9
618,Emp618,L695,80667,72
619,Emp619,L259,49709,37
620,Emp620,L84,48537,43
621,Emp621,L318,81374,45
622,Emp622,L610,41104,17
623,Emp623,L573,79372,40
624,Emp624,L811,73054,83
625,Emp625,L687,98995,17
626,Emp626,L662,85496,12
627,Emp627,L371,32389,66
628,Emp628,L317,53627,47
629,Emp629,L350,93736,28
630,Emp630,L232,48030,25
631,Emp631,L80,68770,20
632,Emp632,L104,96543,101
633,Emp633,L553,99013,99
634,Emp634,L678,74140,5
635,Emp635,L633,47176,99
636,Emp636,L386,50218,77
637,Emp637,L186,51697,21
638,Emp638,L449,35726,93
639,Emp639,L374,61133,53
640,Emp640,L626,67346,57
641,Emp641,L767,88841,97
642,Emp642,L547,61348,30
643,Emp643,L989,91474,40
644,Emp644,L377,87749,25
645,Emp645,L788,66932,60
646,Emp646,L392,95916,100
647,Emp647,L429,51241,68
648,Emp648,L821,48140,26
649,Emp649,L54,92991,33
650,Emp650,L568,43446,48
651,Emp651,L867,97621,92
652,Emp652,L292,40993,16
653,Emp653,L165,65755,98
654,Emp654,L928,97286,58
655,Emp655,L851,87340,19
656,Emp656,L970,59102,12
657,Emp657,L906,75820,58
658,Emp658,L425,36980,4
659,Emp659,L515,79015,51
660,Emp660,L396,40696,31
661,Emp661,L230,33694,48
662,Emp662,L954,42987,41
663,Emp663,L666,73947,92
664,Emp664,L141,35020,19
665,Emp665,L940,91925,37
666,Emp666,L852,48191,90
667,Emp667,L723,91487,98
668,Emp668,L631,30688,58
669,Emp669,L20,63544,11
670,Emp670,L856,49597,28
671,Emp671,L963,99176,71
672,Emp672,L114,67762,55
673,Emp673,L309,45970,31
674,Emp674,L245,85027,7
675,Emp675,L813,89914,82
676,Emp676,L114,95513,9
677,Emp677,L549,32154,77
678,Emp678,L528,61711,81
679,Emp679,L148,68177,92
680,Emp680,L2,76244,55
681,Emp681,L585,84600,31
682,Emp682,L681,41221,24
683,Emp683,L999,77265,68
684,Emp684,L977,98951,9
685,Emp685,L520,96535,70
686,Emp686,L21,81177,71
687,Emp687,L45,80709,61
688,Emp688,L260,32128,48
689,Emp689,L808,38855,46
690,Emp690,L247,43587,45
691,Emp691,L596,73583,99
692,Emp692,L46,76176,18
693,Emp693,L347,52949,70
694,Emp694,L702,90899,100
695,Emp695,L491,53891,90
696,Emp696,L65,89988,18
697,Emp697,L301,56422,5
698,Emp698,L811,56144,6
699,Emp699,L324,70642,6
700,Emp700,L408,92049,66
701,Emp701,L38,55048,33
702,Emp702,L366,36265,37
703,Emp703,L340,65811,84
704,Emp704,L819,78237,16
705,Emp705,L911,82431,56
706,Emp706,L451,80678,96
707,Emp707,L998,54486,44
708,Emp708,L709,95211,64
709,Emp709,L947,98062,48
710,Emp710,L821,40828,35
711,Emp711,L435,40345,94
712,Emp712,L617,53652,56
713,Emp713,L301,72101,70
714,Emp714,L82,72981,14
715,Emp715,L303,70173,85
716,Emp716,L618,85851,58
717,Emp717,L707,88183,22
718,Emp718,L458,35551,45
719,Emp719,L891,76210,94
720,Emp720,L446,65986,79
721,Emp721,L811,37518,82
722,Emp722,L688,83242,10
723,Emp723,L526,50969,47
724,Emp724,L147,87432,4
725,Emp725,L130,38812,5
726,Emp726,L798,78015,31
727,Emp727,L393,34244,47
728,Emp728,L158,88972,78
729,Emp729,L381,88188,48
730,Emp730,L79,48047,98
731,Emp731,L376,82171,68
732,Emp732,L666,66528,41
733,Emp733,L984,44869,32
734,Emp734,L754,54385,4
735,Emp735,L531,80723,64
736,Emp736,L121,64311,72
737,Emp737,L267,88493,100
738,Emp738,L627,67431,28
739,Emp739,L939,94382,89
740,Emp740,L126,47790,26
741,Emp741,L463,52630,10
742,Emp742,L456,41506,92
743,Emp743,L991,71889,88
744,Emp744,L356,38511,86
745,Emp745,L556,68058,71
746,Emp746,L872,50644,39
747,Emp747,L727,52818,92
748,Emp748,L521,59391,47
749,Emp749,L206,48202,16
750,Emp750,L810,94752,31
751,Emp751,L370,78353,4
752,Emp752,L823,47009,60
753,Emp753,L906,41300,79
754,Emp754,L317,82187,9
755,Emp755,L737,92739,92
756,Emp756,L421,83665,68
757,Emp757,L76,46426,74
758,Emp758,L658,39720,41
759,Emp759,L478,97811,58
760,Emp760,L132,53850,45
761,Emp761,L990,46912,99
762,Emp762,L515,37263,56
763,Emp763,L531,50056,16
764,Emp764,L169,51229,39
765,Emp765,L958,59552,42
766,Emp766,L971,98012,45
767,Emp767,L867,40336,37
768,Emp768,L202,65972,33
769,Emp769,L641,69691,17
770,Emp770,L547,42245,79
771,Emp771,L657,52103,65
772,Emp772,L965,50210,76
773,Emp773,L675,74252,22
774,Emp774,L43,33718,73
775,Emp775,L47,64688,11
776,Emp776,L216,84602,84
777,Emp777,L655,33969,80
778,Emp778,L911,67967,64
779,Emp779,L980,69596,83
780,Emp780,L251,83227,62
781,Emp781,L465,39564,39
782,Emp782,L62,50719,89
783,Emp783,L426,93471,57
784,Emp784,L209,74589,60
785,Emp785,L148,70970,78
786,Emp786,L327,75268,92
787,Emp787,L134,78567,52
788,Emp788,L576,43917,66
789,Emp789,L248,91141,41
790,Emp790,L274,88929,16
791,Emp791,L145,42689,32
792,Emp792,L298,80351,7
793,Emp793,L429,62541,79
794,Emp794,L834,72917,21
795,Emp795,L739,70988,74
796,Emp796,L782,50885,25
797,Emp797,L528,91186,64
798,Emp798,L901,70441,64
799,Emp799,L24,41802,64
800,Emp800,L518,89930,51
801,Emp801,L221,76254,31
802,Emp802,L52,66877,7
803,Emp803,L612,91680,64
804,Emp804,L550,31071,37
805,Emp805,L442,47555,14
806,Emp806,L745,77943,34
807,Emp807,L413,77964,98
808,Emp808,L411,36705,6
809,Emp809,L576,55513,73
810,Emp810,L567,67827,47
811,Emp811,L396,96093,10
812,Emp812,L783,66663,58
813,Emp813,L697,45572,80
814,Emp814,L999,42672,17
815,Emp815,L383,74444,51
816,Emp816,L962,77920,72
817,Emp817,L148,56090,97
818,Emp818,L522,82610,78
819,Emp819,L42,35938,65
820,Emp820,L141,73652,5
821,Emp821,L532,89898,61
822,Emp822,L621,97568,20
823,Emp823,L336,71750,18
824,Emp824,L403,69221,21
825,Emp825,L345,96494,76
826,Emp826,L546,94205,66
827,Emp827,L577,69294,91
828,Emp828,L836,32180,61
829,Emp829,L340,44366,48
830,Emp830,L598,70327,54
831,Emp831,L894,33492,93
832,Emp832,L486,64803,77
833,Emp833,L802,59824,84
834,Emp834,L53,92973,93
835,Emp835,L537,79832,22
836,Emp836,L842,61745,19
837,Emp837,L587,44404,5
838,Emp838,L20,87807,25
839,Emp839,L429,49848,41
840,Emp840,L708,56724,53
841,Emp841,L514,91814,53
842,Emp842,L745,38163,95
843,Emp843,L142,97984,91
844,Emp844,L575,72604,27
845,Emp845,L490,98875,85
846,Emp846,L322,52699,49
847,Emp847,L935,99878,59
848,Emp848,L560,76437,44
849,Emp849,L791,64650,87
850,Emp850,L496,55200,79
851,Emp851,L286,69124,32
852,Emp852,L965,69008,29
853,Emp853,L296,57168,99
854,Emp854,L722,94094,89
855,Emp855,L492,75718,41
856,Emp856,L957,65842,72
857,Emp857,L125,79767,37
858,Emp858,L839,75237,51
859,Emp859,L824,49198,99
860,Emp860,L44,67700,38
861,Emp861,L81,75398,92
862,Emp862,L672,63612,57
863,Emp863,L491,58047,96
864,Emp864,L848,65537,26
865,Emp865,L713,65601,72
866,Emp866,L112,61363,18
867,Emp867,L52,99604,32
868,Emp868,L654,60518,29
869,Emp869,L103,84172,7
870,Emp870,L735,91918,43
871,Emp871,L698,48018,13
872,Emp872,L988,50701,1
873,Emp873,L669,92350,53
874,Emp874,L667,56143,62
875,Emp875,L988,67649,97
876,Emp876,L293,37754,42
877,Emp877,L92,60437,99
878,Emp878,L757,34888,69
879,Emp879,L428,53040,23
880,Emp880,L857,82034,5
881,Emp881,L508,54420,101
882,Emp882,L986,67941,96
883,Emp883,L10,69110,5
884,Emp884,L618,44064,73
885,Emp885,L292,89552,43
886,Emp886,L557,98723,83
887,Emp887,L911,47589,64
888,Emp888,L480,65761,65
889,Emp889,L829,44764,25
890,Emp890,L167,90150,43
891,Emp891,L264,54405,83
892,Emp892,L755,74185,2
893,Emp893,L582,55318,38
894,Emp894,L626,83148,23
895,Emp895,L528,72982,55
896,Emp896,L411,42502,12
897,Emp897,L144,92580,24
898,Emp898,L959,62512,42
899,Emp899,L268,80275,1
900,Emp900,L458,64995,31
901,Emp901,L310,31498,43
902,Emp902,L670,77127,34
903,Emp903,L242,38142,89
904,Emp904,L122,91000,86
905,Emp905,L164,83138,40
906,Emp906,L515,70760,88
907,Emp907,L121,68671,89
908,Emp908,L630,58947,48
909,Emp909,L981,47507,29
910,Emp910,L157,89634,62
911,Emp911,L621,78971,96
912,Emp912,L719,91712,54
913,Emp913,L551,58627,97
914,Emp914,L254,40730,98
915,Emp915,L458,99228,68
916,Emp916,L371,40237,91
917,Emp917,L115,38094,73
918,Emp918,L925,96255,71
919,Emp919,L587,49641,26
920,Emp920,L336,98202,22
921,Emp921,L120,56922,57
922,Emp922,L598,94071,92
923,Emp923,L921,96895,12
924,Emp924,L829,37292,58
